proj,agent,model,turns,tok,out,reads,dup_before,dup_after,final,mins
-Code-ChessBot,ControlsLane,claude-opus-5,117,18466298,112218,9,0,0,13669,27.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FactSheetsDesign,claude-fable-5-1,84,18274612,100549,33,0,1,4627,20.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,WidenL1,claude-opus-5,90,18076713,77586,2,0,0,7147,17.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ResearchB,claude-fable-5-1,84,18031922,73981,56,0,0,2576,22.0
-Code-ChessBot,OrderingInts,claude-fable-5-1,114,17604017,74888,17,3,2,5447,117.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty8,claude-opus-5,89,17126116,110957,7,0,0,0,109.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Figures,claude-opus-5,97,17007245,79178,11,3,1,1678,18.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,CorpusC,claude-fable-5-1,90,16939300,123695,10,0,0,3047,25.3
-Code-ChessBot,RuntimeReviewFix,claude-opus-5,126,16880600,67195,15,9,0,11324,17.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneD34,claude-fable-5-1,81,16751607,72063,28,0,0,5391,19.0
-Code-PokerBot,ThorpGameAudit,claude-fable-5-1,106,16640933,90711,19,1,0,2769,22.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltyTrack2,claude-opus-5,121,16403317,140491,3,0,0,3687,113.1
-Code-ChessBot,AdmissionDesign,claude-opus-5,79,16341412,228785,6,0,0,4330,159.1
-Code-ChessBot,EndgameReportReview,claude-opus-5,89,15847036,109494,8,1,0,3412,30.7
-Code-ChessBot,InvarianceDriver,gpt-5.6-sol,115,15520653,65021,22,8,13,3510,27.9
-Code-ChessBot,SearchDiagnosis,claude-opus-5,111,15260858,102606,8,0,0,7903,33.8
-Code-ChessBot,Panel,claude-opus-5,94,15183537,95947,11,5,1,897,28.2
-Code-ChessBot,DataBindingFix,claude-opus-5,110,15078492,68691,6,1,2,9801,16.1
-Code-ChessBot,LossMiner,claude-fable-5-1,103,14969154,105561,15,2,1,7464,51.9
-Code-ChessBot,LeaderScienceReview,claude-opus-5,89,14958487,92234,13,1,0,2748,44.1
-Code-ChessBot,TimeMgmt,claude-fable-5-1,133,14658923,58046,18,3,5,84,519.6
-Code-ChessBot,TrackBSearch,claude-opus-5,89,14548299,135725,11,0,0,8854,78.1
-Code-ChessBot,CoreD,claude-fable-5-1,100,14450847,94901,24,0,0,2793,45.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneB2,claude-fable-5-1,78,14385548,100171,26,0,0,3060,22.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DesignS3Noise,claude-opus-5,87,14364900,129169,21,2,0,2228,30.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,PipelineRepair,claude-fable-5-1,98,14212869,57598,21,1,1,2160,36.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneA5,claude-fable-5-1,65,14021336,60325,19,0,0,238,41.8
-Code-ChessBot,CompliantCandidate,claude-opus-5,82,13922739,107715,17,1,0,12566,45.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AgentVarianceSources,claude-opus-5,46,13918555,66068,51,3,0,28330,32.7
-Code-ChessBot,MacScreen,claude-fable-5-1,105,13858264,96338,12,1,1,2330,153.4
-Code-ChessBot,R2,claude-opus-5,90,13850337,88561,12,0,0,1490,28.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalValidity2,claude-opus-5,73,13640790,114077,14,1,0,3218,26.2
-Code-ChessBot,InboxPoller,gpt-5.6-sol,127,13585712,62707,11,4,10,2145,27.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty2,claude-opus-5,85,13474534,103678,6,1,0,5871,35.2
-Code-ChessBot,TargetStateFidelity,claude-opus-5,79,13442847,80186,6,0,0,12025,17.2
-Code-PokerBot,AlphaFishUpdate,claude-fable-5-1,80,13403375,70032,19,0,0,0,37.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltyTrack3,claude-opus-5,108,12761875,96578,3,0,0,6916,217.8
-Code-Agentic Obsidian Vault-Agentic-dissertation,Ch1Writer,claude-fable-5,61,12495747,96480,28,0,0,812,48.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneB6a,claude-fable-5-1,83,12386950,72881,16,0,0,3649,24.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty6,claude-opus-5,68,12367904,109085,8,1,0,9674,51.5
-Code-PokerBot,FieldExploits,claude-fable-5-1,81,11992357,110033,15,1,0,2525,27.3
-Code-ChessBot,ConfirmationDesign,claude-opus-5,78,11988323,172424,5,1,0,29093,43.3
-Code-ChessBot,PredictiveTrigger,gpt-5.6-sol,114,11958502,66709,18,9,12,399,25.0
-Code-ChessBot,FieldScienceReview,claude-opus-5,78,11946990,102741,15,0,0,2686,34.9
-Code-ChessBot,MeasurementPrep,claude-opus-5,80,11944804,75661,13,0,0,6507,16.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ColourInset,claude-opus-5,75,11745247,60122,4,1,0,4607,14.8
-Code-ChessBot,TrainingPacket,claude-opus-5,80,11720134,63810,8,0,0,6620,20.7
-Code-PokerBot,RatingTrajectory,claude-fable-5-1,77,11690609,126068,8,1,0,2639,26.4
-Code-PokerBot,ParseTeamId,claude-opus-5,110,11646128,49236,5,0,0,1313,14.2
-Code-ChessBot,compiled-draw-engine,gpt-6-astra,90,11546773,41052,32,4,2,1261,54.8
-Code-ChessBot,ValidationRepair,claude-opus-5,89,11462889,105654,6,0,0,8675,25.1
-Code-ChessBot,ArtifactReview,claude-opus-5,80,11420703,93320,5,0,1,2981,25.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty5,claude-opus-5,63,11236772,95404,10,1,0,6147,42.8
-Code-ChessBot,InitTimeResearch,claude-fable-5-1,78,11073831,90850,16,0,0,5730,38.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneA2,claude-fable-5-1,79,10970064,44241,35,0,0,6703,18.5
-Code-ChessBot,ArchetypeOpponents,claude-opus-5,87,10925791,90160,22,0,1,7722,30.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibD2,claude-opus-5,54,10553697,51698,16,0,0,3958,12.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2D2,claude-opus-5,58,10102651,43227,8,0,0,4972,12.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneB6b,claude-fable-5-1,66,10055904,79274,11,0,0,3110,16.9
-Code-ChessBot,CH1,claude-opus-5,77,10013089,73349,13,3,2,7262,19.0
-Code-ChessBot,ConfirmIntegrate,claude-fable-5,63,9929010,100141,18,4,0,6916,68.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LocalDataAuditor,gpt-5.6-sol,72,9884620,26424,41,10,2,217,12.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltyTrack1,claude-opus-5,89,9862311,64461,13,0,0,5039,73.6
-Code-ChessBot,HarnessFidelity,claude-opus-5,87,9711032,68433,14,0,0,2379,19.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,PromptSources,claude-opus-5,35,9414119,60198,76,2,0,13001,32.1
-Code-ChessBot,HarnessReview,claude-opus-5,59,9345799,85594,9,0,0,3119,43.3
-Code-ChessBot,MeasurementDesign,claude-opus-5,74,9310852,84973,4,0,0,2925,21.0
-Code-ChessBot,LaneCheckers,claude-opus-5,60,9251127,77238,21,4,0,6416,17.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RuschendorfSweep,claude-opus-5,48,9250215,44455,32,0,0,12416,77.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ZepPrimarySources,gpt-5.6-terra,68,9247480,16062,29,1,0,170,11.8
-Code-ChessBot,RetrainData,claude-fable-5-1,68,9213847,58220,10,0,1,5305,15.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty,claude-opus-5,68,9175269,70492,6,1,0,4480,27.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadDavison,claude-fable-5-1,51,9154236,15808,12,0,1,103,13.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinanceGenerator,gpt-5.6-sol,88,9117218,48867,12,0,2,809,30.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneD12,claude-fable-5-1,49,9023396,58795,32,0,0,386,15.2
-Code-ChessBot,ControlSemantics,claude-opus-5,67,8945820,95777,7,0,0,18395,19.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AttackSignificance,claude-opus-5,73,8878968,87739,11,2,0,8862,21.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalValidity3,claude-opus-5,55,8873432,95310,13,7,0,3288,41.9
-Code-ChessBot,MoveReportReview,claude-opus-5,67,8799270,62696,4,1,0,2291,13.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NumbersAndBrief,claude-opus-5,55,8785308,60615,6,3,1,5951,12.7
-Code-ChessBot,LaneRemainder,claude-opus-5,66,8770775,66707,19,3,0,6490,14.7
-Code-ChessBot,FixRound5Confirm,claude-fable-5,56,8677853,98772,6,3,0,1841,26.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Cycle006P06,gpt-5.6-sol,68,8607283,16337,31,3,0,0,17.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltyTrack1,claude-opus-5,85,8562860,84802,4,0,0,74,51.3
-Code-ChessBot,SearchRelease,claude-opus-5,70,8526792,69750,10,0,0,12126,18.0
-Code-ChessBot,LaneEventSite,claude-opus-5,78,8501640,68038,6,1,0,4757,15.5
-Code-ChessBot,DataRepair,claude-opus-5,76,8496263,58770,6,1,1,12832,13.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneB5,claude-fable-5-1,70,8312131,43740,11,0,0,3161,16.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,p06-caliper,claude-fable-5,51,8190240,58716,4,1,0,1313,36.8
-Code-ChessBot,ReviewCudaPipeline,claude-fable-5-1,77,8137601,59054,9,0,0,3027,176.0
-Code-ChessBot,ForkSurvey,gpt-5.6-terra,54,8084182,8541,35,0,0,4343,5.3
-Code-ChessBot,CheckpointLane,gpt-6-astra,89,7809293,25703,13,2,1,4548,46.0
--private-tmp--,Release,claude-opus-5,65,7717125,75370,20,0,2,3388,18.4
-Code-ChessBot,FixOutcomeCardinality,claude-fable-5,50,7710228,83014,8,2,3,9036,17.8
-Code-ChessBot,CompetitorLane,claude-opus-5,55,7709414,59227,13,5,0,2900,14.5
-Code-ChessBot,LifecycleReview,gpt-5.6-sol,85,7680999,31710,20,11,13,0,17.4
-Code-ChessBot,LossAB,claude-fable-5-1,68,7656393,44996,10,2,4,104,17.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch5Brief,claude-opus-5,45,7593640,54717,13,2,1,5371,11.4
-Code-ChessBot,StatsFix,claude-opus-5,55,7523338,90826,4,0,0,15282,20.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3AppendixB,claude-fable-5-1,62,7447345,46744,14,0,0,4997,12.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AttackCorrectness,claude-opus-5,61,7420785,95275,7,2,0,5308,20.9
-Code-ChessBot,StatisticsReview,gpt-5.6-sol,91,7405283,38518,23,6,0,32,18.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MLGenerator,gpt-5.6-sol,84,7404839,59489,19,1,1,1150,25.7
-Code-ChessBot,BoundedWatcher,claude-opus-5,88,7388513,43092,5,1,0,2612,16.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2A2,claude-opus-5,37,7300890,46834,5,0,0,7702,10.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RemedySources,claude-opus-5,30,7254706,50455,45,2,0,19419,19.7
-Code-ChessBot,LaneUnmatched,claude-opus-5,54,7136634,56427,13,3,0,2442,13.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AttackCorrectness,claude-opus-5,50,7098612,106970,12,6,0,16343,23.1
-Code-ChessBot,EmileResearch,claude-fable-5-1,27,7086810,45658,32,0,0,27391,11.4
-Code-Trades,AdaptationPRReview,gpt-5.6-sol,66,7042781,17503,40,4,0,322,11.0
-Code-Trades,ClusterTrace,gpt-5.6-terra,58,7006928,17362,22,4,0,5558,7.6
-Code-ChessBot,ConcurrentPairs,gpt-5.6-sol,81,6993087,37774,9,2,6,312,19.2
-Code-ChessBot,GatesTb4R50,claude-fable-5-1,57,6991140,72895,10,0,1,2706,43.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,CoverageAudit,claude-opus-5,48,6901621,61211,15,1,0,17438,40.1
-Code-ChessBot,FieldStats,claude-fable-5-1,66,6869909,74844,9,1,1,3069,15.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch1Writer,claude-fable-5,37,6869842,137270,5,1,1,3025,104.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2D,claude-fable-5-1,39,6863316,11165,11,0,0,0,4.1
-Code-Agentic Obsidian Vault-Agentic-dissertation,CrossModelPilot,claude-fable-5,58,6840738,88238,5,0,0,3096,41.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneB4,claude-fable-5-1,48,6835217,45742,9,0,0,120,15.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltyTrack3,claude-opus-5,39,6834690,71656,18,0,0,23619,35.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinanceCites,claude-fable-5-1,46,6753702,42263,38,0,0,5911,9.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalValidity4,claude-opus-5,48,6736718,72552,3,1,1,4537,17.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadDavison2,claude-opus-5,38,6734825,20547,1,0,0,3279,8.0
-Code-ChessBot,ReviewContainment,claude-fable-5,55,6703112,54983,12,1,3,6977,13.6
-Code-ChessBot,ReadmeLane,claude-opus-5,49,6699129,69400,8,5,0,2820,16.2
-Code-ChessBot,LaneMiteRyan,claude-opus-5,67,6697545,61231,10,2,0,2626,15.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3FiguresB,claude-fable-5-1,52,6681402,71481,10,0,0,3703,17.6
-Code-ChessBot,AlphaFishDeep,claude-fable-5-1,62,6667117,83742,4,2,1,3253,34.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadStatsB,claude-fable-5-1,48,6603463,8726,20,0,1,0,3.5
-Code-ChessBot,InvarianceReview,claude-fable-5,52,6578162,60909,13,6,3,1675,65.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FableReader,claude-opus-5,34,6541449,47420,64,0,0,2451,11.5
-Code-ChessBot,ReviewSplitPipeline,gpt-5.6-sol,58,6377152,31818,6,0,0,630,11.9
-Code-ChessBot,ContemptThreefold,claude-fable-5-1,66,6370783,34234,17,1,1,3790,90.8
-Code-PokerBot,R43Annotate,claude-opus-5,64,6361542,62706,8,0,0,5350,35.0
-Code-ChessBot,ReviewAuthority,claude-fable-5,54,6361106,49513,11,0,2,4524,11.8
-Code-ChessBot,LanePodiumHunt,claude-opus-5,65,6327311,64132,7,2,0,6035,17.1
-Code-Agentic Obsidian Vault-Agentic-dissertation,BlindMarkingPanel,claude-fable-5,54,6270788,43103,9,0,0,1525,60.2
-Code-ChessBot,RuntimeGateReview,claude-opus-5,48,6246045,62378,15,0,0,22,14.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibB2,claude-opus-5,29,6238642,32548,11,0,0,3357,9.2
-Code-ChessBot,LaneIdentity,claude-opus-5,55,6223274,58476,6,0,0,3727,15.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ChartDoctrine,gpt-5.6-terra,56,6153098,12057,47,0,1,24482,6.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RepoArchitect,gpt-5.6-terra,58,6114272,11468,45,2,1,19353,4.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MarkerRebuild,claude-fable-5-1,43,6104814,28599,12,4,1,6837,6.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2C2,claude-opus-5,40,6060840,43460,6,0,0,3871,9.8
-Code-ChessBot,reviewresources,claude-fable-5-1,76,6058170,46143,17,2,1,12059,13.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DecisionConsistency,gpt-5.6-sol,64,5963601,22474,18,6,2,1233,10.0
-Code-ChessBot,FreshValidation,claude-opus-5,61,5954871,50480,1,0,0,8270,12.4
-Code-ChessBot,ForwardValidation,claude-opus-5,53,5932552,63304,10,4,0,0,13.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,CollisionScout,gpt-5.6-sol,53,5891834,11905,35,3,1,226,14.0
-Code-ChessBot,SequentialReview,claude-opus-5,50,5800476,71594,8,0,0,2461,18.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ProofReconstruction,claude-opus-5,58,5728058,79243,3,0,0,6015,18.2
-Code-ChessBot,CheckpointReview,claude-opus-5,51,5668072,65847,9,0,0,2133,16.3
-Code-ChessBot,reviewtiming,claude-fable-5-1,59,5654616,53200,14,2,1,10037,20.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SynthD,claude-fable-5-1,43,5599294,76474,16,0,1,3745,13.9
-Code-ChessBot,ReviewDocs,claude-fable-5,59,5580069,48315,15,1,1,2125,13.2
-Code-ChessBot,FullhouseDigest,gpt-5.6-terra,55,5565220,10266,37,0,0,6250,5.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Cycle005ML,gpt-5.6-sol,60,5543752,28056,25,3,0,1128,15.5
-Code-ChessBot,FleetDecision,gpt-6-astra,85,5514309,27071,21,0,0,4165,30.2
-Code-ChessBot,IIR,claude-opus-5,52,5481951,60879,8,1,3,10315,11.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HostileReviewer,gpt-5.6-sol,46,5478178,21780,28,10,6,202,11.0
-Code-Agentic Obsidian Vault-Agentic-CareerMode,CorpusRbcStrategy,claude-opus-5,30,5472815,62161,26,1,0,4779,12.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RegisterPp28to35,claude-opus-5,43,5441755,45991,5,3,1,5359,10.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneA1,claude-fable-5-1,49,5344620,31742,15,0,0,265,15.3
-Code-ChessBot,AaCohortPlanner,claude-opus-5,44,5322940,61232,7,5,0,0,14.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltyTrack2,claude-opus-5,50,5269180,75821,12,0,0,29794,20.2
-Code-Agentic Obsidian Vault-Agentic-CareerMode,ScoutFrontier,gpt-5.6-terra,48,5260099,8921,25,0,0,11864,8.6
-Code-Trades,CA7Trace,gpt-5.6-terra,60,5218239,12954,23,5,0,2544,11.5
--private-tmp--,ReleaseWorker,claude-opus-5,42,5204643,38008,4,1,0,5294,8.0
-Code-ChessBot,TrackANetV2,claude-opus-5,53,5144988,63007,11,0,0,0,19.0
-Code-Agentic Obsidian Vault-Agentic-CareerMode,ScoutBioSeed,gpt-5.6-terra,49,5131063,10683,30,0,0,14837,9.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SiteMapper,gpt-5.6-terra,49,5128607,13827,8,2,3,17553,7.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DiagramAsCode,gpt-5.6-terra,62,5119053,11018,54,0,0,20383,7.3
